GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Kylin - HBase Metastore,org.apache.kylin.storage.hbase,HBaseConnection,804,0,66,0,181,0,54,0,21,0
Apache Kylin - HBase Metastore,org.apache.kylin.storage.hbase,HBaseConnection.new Thread() {...},13,0,0,0,7,0,2,0,2,0
Apache Kylin - HBase Metastore,org.apache.kylin.storage.hbase,HBaseConnection.new Thread() {...},37,0,2,0,9,0,3,0,2,0
Apache Kylin - HBase Metastore,org.apache.kylin.storage.hbase,HBaseResourceStore,1081,0,110,0,213,0,87,0,32,0
Apache Kylin - HBase Metastore,org.apache.kylin.storage.hbase,HBaseResourceStore.new HBaseResourceStore.FolderVisitor() {...},39,0,4,0,7,0,4,0,2,0
